run,baudrate,fer,file_name,file_size_bytes,transfer_time_sec,throughput_bps,retransmissions

1,19200,50,0.000,penguin.gif,10968,9.324,1176,0
1,19200,50,0.000,penguin.gif,10968,9.335,1175,0
1,19200,50,0.000,penguin.gif,10968,9.375,1170,0
1,19200,50,0.000,penguin.gif,10968,9.425,1164,0
1,19200,50,0.000,penguin.gif,10968,9.357,1172,0
1,19200,50,0.000,penguin.gif,10968,9.340,1174,0
1,19200,50,0.000,penguin.gif,10968,9.327,1176,0
1,19200,50,0.000,penguin.gif,10968,9.320,1177,0
1,19200,50,0.000,penguin.gif,10968,9.335,1175,0
1,19200,50,0.000,penguin.gif,10968,9.360,1172,0
1,19200,50,0.010,penguin.gif,10968,12.575,872,9
1,19200,50,0.010,penguin.gif,10968,9.504,1154,4
1,19200,50,0.010,penguin.gif,10968,9.430,1163,0
1,19200,50,0.010,penguin.gif,10968,12.439,882,5
1,19200,50,0.010,penguin.gif,10968,9.431,1163,4
1,19200,50,0.010,penguin.gif,10968,9.328,1176,0
1,19200,50,0.010,penguin.gif,10968,9.397,1167,2
1,19200,50,0.010,penguin.gif,10968,12.383,886,3
1,19200,50,0.010,penguin.gif,10968,9.584,1144,8
1,19200,50,0.010,penguin.gif,10968,12.471,879,5
1,19200,50,0.050,penguin.gif,10968,9.998,1097,21
1,19200,50,0.050,penguin.gif,10968,12.784,858,16
1,19200,50,0.050,penguin.gif,10968,9.887,1109,18
1,19200,50,0.050,penguin.gif,10968,10.200,1075,29
1,19200,50,0.050,penguin.gif,10968,10.104,1086,24
1,19200,50,0.050,penguin.gif,10968,16.127,680,27
1,19200,50,0.050,penguin.gif,10968,10.040,1092,22
1,19200,50,0.050,penguin.gif,10968,13.175,832,28
1,19200,50,0.050,penguin.gif,10968,9.856,1113,16
1,19200,50,0.050,penguin.gif,10968,13.079,839,25
1,19200,50,0.100,penguin.gif,10968,10.919,1004,50
1,19200,50,0.100,penguin.gif,10968,10.703,1025,44
1,19200,50,0.100,penguin.gif,10968,22.584,486,44
1,19200,50,0.100,penguin.gif,10968,11.096,988,57
1,19200,50,0.100,penguin.gif,10968,13.831,793,48
1,19200,50,0.100,penguin.gif,10968,10.480,1047,37
1,19200,50,0.100,penguin.gif,10968,17.071,642,59
1,19200,50,0.100,penguin.gif,10968,16.811,652,49
1,19200,50,0.100,penguin.gif,10968,13.863,791,49
1,19200,50,0.100,penguin.gif,10968,28.944,379,59
1,19200,100,0.000,penguin.gif,10968,8.223,1334,0
1,19200,100,0.000,penguin.gif,10968,8.215,1335,0
1,19200,100,0.000,penguin.gif,10968,8.199,1338,0
1,19200,100,0.000,penguin.gif,10968,8.208,1336,0
1,19200,100,0.000,penguin.gif,10968,8.222,1334,0
1,19200,100,0.000,penguin.gif,10968,8.207,1336,0
1,19200,100,0.000,penguin.gif,10968,8.207,1336,0
1,19200,100,0.000,penguin.gif,10968,8.216,1335,0
1,19200,100,0.000,penguin.gif,10968,8.207,1336,0
1,19200,100,0.000,penguin.gif,10968,8.207,1336,0
1,19200,100,0.010,penguin.gif,10968,8.343,1315,2
1,19200,100,0.010,penguin.gif,10968,8.328,1317,2
1,19200,100,0.010,penguin.gif,10968,11.451,958,5
1,19200,100,0.010,penguin.gif,10968,8.327,1317,2
1,19200,100,0.010,penguin.gif,10968,8.335,1316,2
1,19200,100,0.010,penguin.gif,10968,8.447,1298,4
