run,baudrate,fer,file_name,file_size_bytes,transfer_time_sec,throughput_bps,retransmissions

1,9600,50,0.000,penguin.gif,10968,17.593,623,0
1,9600,50,0.000,penguin.gif,10968,17.567,624,0
1,9600,50,0.000,penguin.gif,10968,17.584,624,0
1,9600,50,0.000,penguin.gif,10968,17.575,624,0
1,9600,50,0.000,penguin.gif,10968,17.584,624,0
1,9600,50,0.000,penguin.gif,10968,17.584,624,0
1,9600,50,0.000,penguin.gif,10968,17.575,624,0
1,9600,50,0.000,penguin.gif,10968,17.591,623,0
1,9600,50,0.000,penguin.gif,10968,17.583,624,0
1,9600,50,0.000,penguin.gif,10968,17.591,623,0
1,9600,50,0.010,penguin.gif,10968,17.847,615,4
1,9600,50,0.010,penguin.gif,10968,17.855,614,4
1,9600,50,0.010,penguin.gif,10968,18.344,598,8
1,9600,50,0.010,penguin.gif,10968,18.230,602,10
1,9600,50,0.010,penguin.gif,10968,17.864,614,4
1,9600,50,0.010,penguin.gif,10968,20.719,529,3
1,9600,50,0.010,penguin.gif,10968,17.784,617,3
1,9600,50,0.010,penguin.gif,10968,17.600,623,0
1,9600,50,0.010,penguin.gif,10968,18.037,608,8
1,9600,50,0.010,penguin.gif,10968,18.247,601,10
1,9600,50,0.050,penguin.gif,10968,21.624,507,17
1,9600,50,0.050,penguin.gif,10968,19.398,565,28
1,9600,50,0.050,penguin.gif,10968,22.334,491,27
1,9600,50,0.050,penguin.gif,10968,18.831,582,20
1,9600,50,0.050,penguin.gif,10968,27.932,393,24
1,9600,50,0.050,penguin.gif,10968,19.031,576,22
1,9600,50,0.050,penguin.gif,10968,22.790,481,35
1,9600,50,0.050,penguin.gif,10968,21.719,505,19
1,9600,50,0.050,penguin.gif,10968,22.831,480,36
1,9600,50,0.050,penguin.gif,10968,19.393,566,28
1,9600,50,0.100,penguin.gif,10968,34.998,313,47
1,9600,50,0.100,penguin.gif,10968,22.648,484,36
1,9600,50,0.100,penguin.gif,10968,25.839,424,39
1,9600,50,0.100,penguin.gif,10968,23.944,458,55
1,9600,50,0.100,penguin.gif,10968,22.702,483,37
1,9600,50,0.100,penguin.gif,10968,26.479,414,51
1,9600,50,0.100,penguin.gif,10968,26.024,421,43
1,9600,50,0.100,penguin.gif,10968,21.343,514,62
1,9600,50,0.100,penguin.gif,10968,35.016,313,48
1,9600,50,0.100,penguin.gif,10968,24.239,452,62
1,9600,100,0.000,penguin.gif,10968,15.279,718,0
